t_s,x_m,y_m
7.0280000000000005,0.021084000000000002,0.0010339287695235598
7.03,0.02109,0.0011043736580540382
7.032,0.021096,0.0011741210005116072
7.034,0.021102,0.0012431267429798482
7.0360000000000005,0.021108000000000002,0.00131134729995279
7.038,0.021114,0.001378739581864451
7.04,0.02112,0.0014452610223051293
7.042,0.021126,0.001510869604907262
7.0440000000000005,0.021132,0.0015755238898838995
7.046,0.021138,0.0016391830402028155
7.048,0.021144,0.0017018068473802735
7.05,0.02115,0.0017633557568774198
7.0520000000000005,0.021156,0.001823790893083813
7.054,0.021162,0.0018830740838720944
7.056,0.021168,0.0019411678847083224
7.058,0.021174,0.001998035602302741
7.0600000000000005,0.02118,0.00205364131778608
7.062,0.021186,0.002107949909396558
7.064,0.021192,0.0021609270746637274
7.066,0.021198,0.0022125393520744966
7.0680000000000005,0.021204,0.002262754142208312
7.07,0.02121,0.002311539728327365
7.072,0.021216000000000002,0.0023588652964098514
7.074,0.021222,0.0024047009546126217
7.0760000000000005,0.021228,0.0024490177521515662
7.078,0.021234000000000003,0.0024917876975874493
7.08,0.021240000000000002,0.0025329837765060304
7.082,0.021246,0.0025725799685809405
7.0840000000000005,0.021252000000000004,0.0026105512640085798
7.086,0.021258000000000003,0.0026468736793048607
7.088,0.021264,0.00268152427245379
7.09,0.02127,0.002714481157398055
7.0920000000000005,0.021276000000000003,0.0027457235178627647
7.094,0.021282000000000002,0.0027752316205033674
7.096,0.021288,0.002802986827369828
7.098,0.021294,0.002828971607678584
7.1000000000000005,0.021300000000000003,0.002853169548885464
7.102,0.021306000000000002,0.0028755653670521296
7.104,0.021312,0.002896144916499822
7.106,0.021318,0.002914895198744021
7.1080000000000005,0.021324000000000003,0.0029318043707045787
7.11,0.021330000000000002,0.0029468617521860637
7.112,0.021336,0.0029600578326236015
7.114,0.021342,0.0029713842770899505
7.1160000000000005,0.021348000000000002,0.002980833931560027
7.118,0.021354,0.0029884008274295186
7.12,0.02136,0.002994080185284815
7.122,0.021366,0.002997868417921768
7.1240000000000006,0.021372000000000002,0.002999763132611448
7.126,0.021378,0.002999763132611448
7.128,0.021384,0.0029978684179217683
7.13,0.02139,0.002994080185284816
7.132000000000001,0.021396000000000002,0.0029884008274295155
7.134,0.021402,0.0029808339315600236
7.136,0.021408,0.0029713842770899518
7.138,0.021414,0.002960057832623603
7.140000000000001,0.02142,0.0029468617521860654
7.142,0.021426,0.002931804370704581
7.144,0.021432,0.0029148951987440237
7.146,0.021438,0.0028961449164998246
7.148000000000001,0.021444,0.00287556536705212
7.15,0.02145,0.002853169548885454
7.152,0.021456,0.002828971607678602
7.154,0.021462000000000002,0.002802986827369847
7.156000000000001,0.021468,0.0027752316205033717
7.158,0.021474,0.0027457235178627516
7.16,0.021480000000000003,0.0027144811573980594
7.162,0.021486,0.0026815242724537946
7.164000000000001,0.021492,0.002646873679304845
7.166,0.021498000000000003,0.002610551264008585
